1,successively,adv.,one after another,sequentially,,,잇따라서,bid up successively ,자꾸자꾸 (값을) 끌어 올리다,
1,pervasive,adj.,widespread,prevalent,,,만연하는,a pervasive smell of damp ,구석구석 배어드는 습한 냄새,
1,strenuous,adj.,intense,arduous,laborious,,"힘이 많이 드는, 몹시 힘든, 격렬한; 불굴의",a strenuous job,힘든 일,
1,sleek,adj.,smooth,silky,,,"윤이 나는, 매끈한; 세련된",She has a sleek black hair. ,그녀는 윤이 나는 검은 머릿결을 지녔다.,
1,invoke,v.,call upon,pray to,conjure,,"호소하다, 기원하다",invoke a blessing,복을 빌다,
1,impressive,adj.,striking,remarkable,,,인상적인,undeniably impressive ,부인하기 어려울 정도로 인상적인,
1,conjunction,n.,combination,union,,,"결합, 공동; (문법) 접속사",the conjunction of two events,두 사건이 동시에 발생한 사실,
1,astoundingly,adv.,incredibly,surprisingly,shockingly,astonishingly,몹시 놀랍게도,astoundingly beautiful,놀라울 정도로 아름다운,
1,aftermath,n.,result,outcome,consequence,aftereffect,"여파, 결과",the aftermath of elections ,선거의 후유증,
1,promptly,adv.,quickly,instantly,straightaway,,"신속히, 즉시; 정확히",respond promptly,신속하게 반응을 보이다,
1,subdue,v.,defeat,conquer,vanquish,,진압하다; (감정을) 가라앉히다,subdue one's desire,욕망을 억누르다,
1,extant,adj.,surviving,in existence,existing,living,현존하는,his extant works ,현존하는 그의 저작,
1,sedentary,adj.,stationary,settled,,,"주로 앉아서 하는, 앉아 있는",sedentary lives,앉아있는 생활,
1,eliminate,v.,get rid of,remove,discard,,"제거하다, 없애다, 삭제하다",eliminate impurities ,불순물을 제거하다,
1,perfect,adj.,refine,improve,develop,,"완벽한, 완전한",He's a perfect husband.,그는 완벽한 남편이다.,
1,genuine,adj.,TRUE,real,authentic,,"진짜의, 진품의",a very genuine person ,아주 진실된 사람,
1,dominant,adj.,prevailing,prominent,supreme,chief,"우세한, 지배적인",hold a dominant position,우위를 차지하다,
1,unrivaled,adj.,unequaled,unparalleled,matchless,peerless,"경쟁자가 없는, 무적의, 비할 데 없는",He is unrivaled.,그와 비견할 사람은 없다 ,
1,paradox,n.,contradiction,absurdity,,,"역설, 모순",His stories are full of paradox.,그의 이야기는 역설로 가득 차 있다.,
1,neglect,v.,ignore,disregard,,,"소홀히 하다, 등한시하다, 방치하다",neglect a guest,손님을 홀대하다,
1,neglect,n.,fail,forget,,,방치; 무시,,,
1,recall,v.,remember,recollect,,,"기억하다, 상기하다; 소환하다, 회수하다",She couldn't recall any of us.,그녀는 우리들 중 누구도 기억해낼 수 없었다.,
1,ascend,v.,rise,climb,mount,go up,오르다; 상승하다; 승진하다,to ascend the throne,왕위에 오르다,
1,solid,adj.,substantial,fixed,sturdy,robust,"고체의, 견고한, 단단한",rock solid,"바위처럼 단단한, 굳건한",
1,contour,n.,outline,,,,"윤곽, 외형",contour line ,등고선,
1,inhabit,v.,live in,occupy,dwell in,,"살다, 거주하다, 서식하다",inhabit a forest ,숲에 서식하다,
1,irrevocable,adj.,permanently,irreversibly,irretrievably,,변경할 수 없는,one's irrevocable youth ,돌아오지 않는 청춘,
1,superficially,adv.,apparently,not deeply,externally,,"표면[피상]적으로, 천박하게",a superficially clever person,겉똑똑이,
1,stunted,adj.,underdeveloped,hindered,hampered,,성장[발달]을 저해당한,stunted trees,성장을 저해당한 나무들,
1,malleable,adj.,flexible,,,,"금속 등이 펴 늘일 수 있는, 가단성 있는",malleable nickel,가단 니켈,
1,mean,v.,signify,express,indicate,,"의미하다, 뜻하다",What does that mean?,그게 무슨 뜻인가요?,
1,mean,adj.,average,,,,"인색한, 못된",What does that mean?,그게 무슨 뜻인가요?,
1,exclude,v.,keep out,leave out,,,"제외하다, 배제하다",firmly exclude ,단호히 배척하다,
1,mature,v.,get older,grow up,age,,성숙하다,become mature,철이 들다,
1,pillar,n.,column,post,,,기둥,The building is supported by a wide pillar.,이 건물은 큰 기둥이 받치고 있다.,
1,encroachment,n.,invasion,intrusion,,,"잠식, 침략; 침해",encroachment upon the territory of another country,영토 침범,
1,no wonder,phr.,unsurprisingly,unsurprising,,,놀랄 일이 아닌; ~은 당연하다,No wonder he got sick.,그러니 그가 병이 나는 것도 당연하죠.,
2,virtually,adv.,in effect,essentially,almost,nearly,사실상 거의,Jane's decision to resign was virtually an admission of guilt.,사직하기로 한 Jane의 결정은 사실상 자신이 유죄라는 것에 대한 인정이었다.,
2,unprecedented,adj.,unlike anything in the past,unique,novel,new,전례 없는 새로운,"To receive a patent, an invention's design and purpose must be unprecedented.",특허를 받기 위해서는 발명품의 디자인과 용도가 전례 없어야 한다.,
2,grow accustomed to,phr.,become used to,become familiar with,,,~에 익숙해지다,"While living in Seoul, Tom grew accustomed to traffic jams.",서울에 사는 동안 Tom은 교통 체증에 익숙해졌다.,
2,intrigue,v.,interest,fascinate,attract,,흥미를 끌다,The discovery of a new planet that is similar to the Earth intrigued scientists.,지구와 비슷한 새로운 행성의 발견은 과학자들의 흥미를 끌었다.,
2,implausible,adj.,unlikely,unbelievable,improbable,,믿기 어려운,"As implausible as it seems, a snake and a hamster in a Tokyo zoo have become friends.","믿기 어려워 보이지만, 도쿄의 한 동물원에 있는 뱀과 햄스터가 친구가 되었다.",
2,decline,n.,weakening,decay,,,"쇠퇴, 쇠약",The decline of the Roman Empire began in the 4th century.,로마 제국의 쇠퇴는 4세기에 시작되었다.,
2,decline,v.,decrease,lessen,fall,,감소하다,The singer's popularity has been declining since the scandal.,그 가수의 인기는 스캔들 이후 줄어들고 있다.,
2,decline,v.,refuse,reject,,,거절하다,Daniel declined to go to the movie theater with Lisa despite her repeated invitations.,Daniel은 Lisa의 거듭된 초대에도 불구하고 그녀와 함께 영화관에 가기를 거절했다.,
2,contemporary,adj.,modern,present-day,current,,현대의,The Internet is an essential tool for doing business in contemporary society.,인터넷은 현대 사회에서 사업을 하기 위한 필수적인 도구이다.,
2,contemporary,adj.,coexisting,concurrent,,,동시대의,Van Gogh and Gauguin were contemporary artists and good friends.,반 고흐와 고갱은 동시대의 화가이자 좋은 친구였다.,
2,allocate,v.,distribute,allot,designate,earmark,"할당하다, 배정하다",The plan allocates $24 million to City Opera for a new theater downtown.,그 계획은 시내의 새로운 극장을 위해 사립 오페라단에 2천 4백만 달러를 할당한다.,
2,drastically,adv.,severely,strikingly,extremely,,극심하게,The National Weather Service issued a warning when the weather changed drastically.,국립 기상청은 날씨가 극심하게 바뀌자 경보를 발령했다.,
2,conspicuous,adj.,(very) noticeable,clearly visible,prominent,obvious,뚜렷한,Sharon's addiction to alcohol became conspicuous as she lost control of her drinking habit.,Sharon이 자신의 음주 습관에 대한 자제력을 상실하면서 그녀의 알코올 중독이 뚜렷해졌다.,
2,prolific,adj.,fertile,fruitful,productive,abundant,"다산의, 풍부한","Rabbits are prolific breeders, with females able to produce hundreds of babies.",토끼는 암컷이 수백 마리의 새끼를 출산할 수 있는 다산하는 동물이다.,
2,fluctuation,n.,change,variation,variance,,변동,Even minor temperature fluctuations can be dangerous to tropical fish.,열대어에게는 작은 온도 변동조차도 위험할 수 있다.,
2,encourage,v.,promote,prompt,motivate,,촉진하다,Many studies show that exercise encourages the growth of new brain cells.,많은 연구들은 운동이 새로운 뇌세포의 증가를 촉진한다는 것을 증명한다.,
2,encourage,v.,cheer up,hearten,,,격려하다,The patients at the hospital were encouraged by the movie star's visit.,병원의 환자들은 영화 배우의 방문으로 격려를 받았다.,
2,abrupt,adj.,sudden,sharp,unexpected,,갑작스러운,The airbag was wrongly released when the car made an abrupt stop.,차가 갑작스러운 정지를 하자 에어백이 잘못 터졌다.,
2,evaluate,v.,judge,assess,gauge,appraise,평가하다,Judges use several criteria to evaluate Olympic gymnasts' performances.,심판들은 올림픽 체조 선수들의 연기를 평가하기 위해 여러 가지 기준들을 사용한다.,
2,comprehensive,adj.,thorough,complete,exhaustive,,종합적인,"Before entering a foreign market, firms conduct a comprehensive study of the country.",해외 시장에 진출하기 전에 회사들은 해당 국가에 대한 종합적인 연구를 한다.,
2,engrave,v.,carve,incise,etch,,새기다,"Julie can engrave designs in all kinds of materials, such as wood, leather, and metal.","Julie는 나무, 가죽, 금속과 같은 모든 종류의 소재에 무늬를 새길 수 있다.",
2,slight,adj.,minor,small,trivial,mild,"하찮은, 경미한",A proofreader will often make slight changes to the final draft of a novel.,교정자는 종종 소설의 최종 원고에 경미한 변경을 가한다.,
2,monotonous,adj.,unvaried,boring,tedious,dull,"단조로운, 지루한",Eric quit his job on the assembly line because his tasks were so monotonous.,Eric은 자신의 직무가 너무 단조로워서 조립 라인에서 하던 일을 그만두었다.,
2,regard,v.,consider,think of,see,,"생각하다, 간주하다","Despite the depth and complexity of comic books, some people regard them as childish.","만화책의 깊이와 복잡성에도 불구하고, 어떤 사람들은 그것이 유치하다고 생각한다.",
2,regard,n.,attention,notice,,,관심,The professor gave little regard to student concerns about the exam's being too difficult.,교수는 시험이 너무 어렵다는 학생들의 걱정에 관심을 거의 주지 않았다.,
2,optimize,v.,make the best use of,,,,최대한 잘 활용하다,The international community should optimize the use of non-renewable fossil fuel resources.,국제 사회는 재생 불가능한 화석 연료 자원을 최대한 잘 활용해야 한다.,
2,supplant,v.,replace,substitute,displace,supersede,대체하다,3D printers are expected to supplant traditional manufacturing methods.,3D 프린터는 전통적인 제조 방법을 대체할 것으로 기대된다.,
2,colossal,adj.,enormous,monstrous,gigantic,,"거대한, 엄청난",The government paid a colossal sum for accidents regardless of the cause.,정부는 원인에 상관없이 사고에 대해 엄청난 액수를 지불했다.,
2,diffuse,v.,spread,distribute,scatter,,퍼뜨리다,The stove diffused its warmth all over the house.,그 난로는 집 전체에 온기를 퍼뜨렸다.,
2,mechanics,n.,procedure,,,,방법,"In the course, students will learn about the mechanics of good writing.",그 강의에서 학생들은 좋은 글을 쓰는 방법에 대해 배울 것이다.,
2,susceptible to,phr.,likely to get,vulnerable to,prone to,,"~에 걸리기 쉬운, 영향 받기 쉬운","Thanks to her healthy immune system, Mrs. Ferguson was not susceptible to the flu.",건강한 면역 체계 덕분에 Ferguson 부인은 독감에 잘 걸리지 않았다.,
2,emanate,v.,emerge,spring,originate,,"내뿜다, 발산하다","When an unpleasant odor emanates from a pipe, it could indicate a gas leak.",파이프에서 불쾌한 냄새가 난다면 가스 누출의 가능성을 나타낼 수도 있다.,
2,conventionally,adv.,customarily,traditionally,,,관례적으로,Americans conventionally have a three-day break from work and school on Thanksgiving.,미국인들은 관례적으로 추수감사절에 직장과 학교로부터 3일간의 휴일을 갖는다.,
2,expansive,adj.,large,broad,wide,extensive,"넓은, 광대한",The expansive lawns in Central Park are popular among visitors.,센트럴파크에 있는 넓은 잔디밭은 방문객들 사이에 인기가 있다.,
2,sporadically,adv.,occasionally,at intervals,infrequently,,이따금씩,The Sun sporadically emits bursts of energy known as solar storms.,태양은 이따금씩 태양 폭풍이라고 알려진 에너지의 폭발을 내뿜는다.,
2,comparative,adj.,relative,,,,상대적인,"Next to economy-class passengers, those seated in the business-class section travel in comparative comfort.",이코노미석 승객들과 비교하면 비즈니스석에 앉은 승객들은 상대적인 안락함 속에서 여행한다.,
2,stamp out,phr.,eliminate,eradicate,extirpate,,근절하다,Medical researchers are working hard to stamp out cancer.,의료 연구진들은 암을 근절하기 위해 열심히 노력하고 있다.,
2,stagnation,n.,low growth,downturn,,,침체,The recent unemployment problem is due to stagnation in the economy.,최근의 실업 문제는 경기 침체 때문이다.,
2,innate,adj.,inborn,natural,native,,선천적인,There are some innate differences between men and women.,남성과 여성 사이에는 몇몇의 선천적인 차이점들이 있다.,
2,obsolete,adj.,out of date,outdated,unused,out of use,"쓸모없게 된, 쓰이지 않는",The pager has now become obsolete because of advances in mobile communications.,이동 통신의 발달로 무선 호출기는 이제 쓸모없게 되었다.,
2,specify,v.,state,define,stipulate,,명시하다,The menu specified that all of the restaurant's dishes were prepared with organic ingredients.,그 메뉴는 식당의 모든 요리가 유기농 재료로 조리되었다는 것을 명시했다.,
2,endure,v.,tolerate,survive,suffer,persevere,견디다,The first European colonists in North America endured many hardships.,북미의 최초 유럽인 식민지 개척자들은 많은 고난을 견뎌냈다.,
2,endure,v.,last,continue,persist,,지속하다,Charles Darwin's reputation as a visionary has endured through the years.,공상가로서 찰스 다윈의 평판은 수년 동안 지속되었다.,
2,conceivable,adj.,imaginable,thinkable,possible,,생각할 수 있는,Volunteers are trying every conceivable method to control the wildfire.,자원봉사자들은 들불을 통제하기 위해 생각할 수 있는 모든 방법을 시도하고 있다.,
2,sufficiently,adv.,adequately,amply,satisfactorily,,충분히,Teachers must sufficiently prepare their students to move up to the next grade level.,교사들은 자신의 학생들이 다음 학년 수준으로 진급할 수 있도록 충분히 준비시켜야 한다.,
2,entail,v.,involve,cause,,,"(필연적으로) 수반하다, 일으키다","Building the Panama Canal was dangerous, so it entailed a serious risk for the workers.",파나마 운하를 건설하는 것은 위험했기 때문에 그것은 노동자들에게 심각한 위험을 수반했다.,
2,entail,v.,require,demand,,,필요로 하다,Farming has always entailed long hours of labor.,농업은 항상 장시간의 노동을 필요로 했다.,
2,depict,v.,picture,portray,represent,,묘사하다,The people depicted in the painting are former senators.,그림에 묘사된 사람들은 전(前) 상원 의원들이다.,
2,integration,n.,union,unification,,,통합,Race relations in America changed with the integration of white and black schools.,미국에서 인종 간의 관계는 백인 학교와 흑인 학교의 통합과 함께 바뀌었다.,
2,stockpile,v.,store up,save,reserve,,비축하다,Squirrels stockpile food under the ground during the winter.,다람쥐는 겨울 동안 땅속에 식량을 비축한다.,
2,capture,v.,seize,catch,trap,grab,붙잡다,The spy was captured in a small town after hiding there for many years.,그 첩자는 한 작은 마을에서 몇 년을 숨어 지낸 후 그곳에서 붙잡혔다.,
2,landscape,n.,scenery,scene,view,,풍경,"Even though it was dark, a giant moon lit the road so brightly that we could see the landscape clearly.","비록 어두웠지만, 거대한 달이 길을 매우 환하게 비추고 있어서 우리는 풍경을 또렷하게 볼 수 있었다.",
2,elaborately,adv.,with great detail,,,,정교하게,"Because the new law is very complicated, the senator explained it elaborately.",새 법률은 매우 복잡하기 때문에 상원 의원은 그것을 정교하게 설명했다.,
2,autonomous,adj.,independent,self-determining,,,자율적인,Many college students become autonomous for the first time in their lives.,많은 대학생들은 인생에서 처음으로 자율적이게 된다.,
2,boom,v.,flourish,thrive,prosper,rapidly expand,갑자기 번창하다,"During the Civil War, the American economy boomed.",남북 전쟁 동안 미국 경제는 갑자기 번창했다.,
2,supremacy,n.,dominance,predominance,ascendancy,,우위,"In the 1920s, Henry Ford lost the battle for supremacy in the automobile industry to General Motors.",1920년대에 헨리 포드는 자동차 산업에서 우위를 점하기 위한 경쟁에서 제너럴 모터스에 졌다.,
2,ravage,v.,destroy,demolish,devastate,ruin,파괴하다,The large hurricane that ravaged the city of New Orleans caused extensive flooding.,뉴올리언스 시를 파괴한 거대한 허리케인은 대규모 홍수를 야기했다.,
2,authority,n.,expert,master,specialist,,"권위자, 대가",The keynote speaker of the seminar was an authority on cultural anthropology.,그 세미나의 기조 연설자는 문화 인류학의 권위자였다.,
2,plug,v.,fill up,stuff,pack,,"메우다, 채우다","The townspeople plugged the old, unused well with concrete so no one would fall in accidentally.",그 도시 주민들은 잘못해서 떨어지는 사람이 없도록 사용하지 않는 오래된 우물을 콘크리트로 메웠다.,
2,discrepancy,n.,inconsistency,disparity,dissimilarity,,불일치,Check your tax forms to ensure there is no discrepancy between your reported and actual income.,당신이 신고한 수입과 실제 수입간에 불일치하는 부분이 없도록 확실히 하기 위해 세금 신고서를 확인해라.,
2,elucidate,v.,clarify,explain,make clear,,명료하게 설명하다,Dr. Magness further elucidated the topic of his lecture on mink farming through a series of examples.,Magness 박사는 일련의 사례들을 통해 밍크 사육에 대한 자신의 강의 주제를 더 명료하게 설명했다.,
3,simultaneous,adj.,concurrent,happening at the same time,synchronous,,동시의,There was a flash of lightning and a simultaneous roll of thunder.,번개의 섬광과 동시에 천둥 소리가 났다.,
3,vast,adj.,extensive,immense,great,huge,"광대한, 거대한",The continent the pilgrims had begun settling upon was unimaginably vast.,순례자들이 정착하기 시작했던 그 대륙은 상상할 수 없을 정도로 광대했다.,
3,reluctant,adj.,unwilling,disinclined,loath,,꺼리는,The archaeologists were reluctant to disturb the fragile pottery at the ancient site.,고고학자들은 유적지에서 깨지기 쉬운 도자기를 건드리는 것을 꺼렸다.,
3,conjecture,n.,speculation,guess,supposition,,추측,The existence of intelligent life elsewhere in the universe is dismissed as conjecture by most scientists.,우주 다른 곳에 있는 지적 생명체의 존재는 대부분의 과학자들에 의해 추측이라고 일축된다.,
3,embed,v.,fix,insert,implant,root,박아 넣다,The story of the American Dream has been embedded deeply in American culture.,아메리칸 드림에 관한 이야기는 미국 문화에 깊이 박혀 왔다.,
3,vow,n.,pledge,promise,oath,,"서약, 맹세","After the couple recited their vows, they were declared married.",그 커플이 서약을 낭독한 후 그들이 결혼했음이 선포되었다.,
3,counter,v.,oppose,act against,refute,,반박하다,The two lawyers used different interpretations of the same data to counter each other's conclusions.,두 변호사는 서로의 결론을 반박하기 위해 같은 자료에 대해 각기 다른 해석을 사용했다.,
3,apparent,adj.,clear,evident,obvious,,분명한,It was apparent to all that Henry had not rehearsed his speech.,Henry가 연설을 연습하지 않았다는 것이 모두에게 분명했다.,
3,apparent,adj.,seeming,exterior,superficial,,외관상의,"The apparent cause of the car accident was faulty brakes, but investigators were considering other possibilities.",그 자동차 사고의 외관상의 원인은 브레이크 결함이었지만 수사관들은 다른 가능성들을 고려하고 있었다.,
3,bombard,v.,strike,assail,attack,,"폭격하다, 공격하다",Warplanes bombarded the city until it was demolished.,전투기들은 그 도시가 완전히 파괴될 때까지 폭격했다.,
3,reveal,v.,make known,show,unveil,uncover,"밝히다, 드러내다",Merill revealed that the company will concentrate on sales of its digital video cameras.,Merill은 회사가 디지털 비디오 카메라 판매에 집중할 것임을 밝혔다.,
3,sturdy,adj.,well-built,strong,robust,stalwart,튼튼한,The school purchased sturdy desks and chairs that are expected to last several years.,그 학교는 수년을 버틸 것으로 예상되는 튼튼한 책상과 의자를 구입했다.,
3,traditionally,adv.,typically,,,,"통상적으로, 관습적으로","In the early 20th century, girls and boys were traditionally taught separately.",20세기 초에는 여자 아이들과 남자 아이들은 통상적으로 따로따로 교육을 받았다.,
3,correspondingly,adv.,similarly,likewise,,,그에 상응하여,"Oil prices went down, so the cost of airline tickets has correspondingly decreased.",유가가 내려갔기 때문에 그에 상응하여 항공권 값도 내려갔다.,
3,trigger,v.,cause,generate,initiate,start,일으키다,News of the court's decision triggered riots and fires in L.A.,법원의 판결에 대한 소식은 로스앤젤레스에서 폭동과 화재를 일으켰다.,
3,vigorous,adj.,strong and healthy,strong,energetic,,"강건한, 활기찬","Despite the man's advanced age, he remained physically vigorous.",고령임에도 불구하고 그 남자는 신체적으로 여전히 강건했다.,
3,vigorous,adj.,forceful,,,,"(작용, 효력 등이) 강력한",The police officer was known for his vigorous enforcement of drinking and driving laws.,그 경찰관은 음주운전 관련 법규에 대한 강력한 집행으로 알려져 있었다.,
3,spontaneous,adj.,voluntary,unprompted,,,자발적인,Sarah's successful jump at the cheerleading contest brought a spontaneous cheer from the crowd.,치어리딩 대회에서 Sarah의 성공적인 점프는 군중으로부터 자발적인 환호를 이끌어냈다.,
3,spontaneous,adj.,automatic,unplanned,involuntary,,"무의식적인, 저절로 움직이는","When Cindy heard the good news, a spontaneous smile appeared on her face.","Cindy가 그 좋은 소식을 들었을 때, 그녀의 얼굴에 무의식적인 미소가 나타났다.",
3,miniature,adj.,small,tiny,diminutive,,소형의,One museum in San Diego contains the world's largest collection of miniature trains.,샌디에이고의 한 박물관은 세계에서 가장 많은 소형 기차 수집품을 소장하고 있다.,
3,commission,v.,order,hire,,,의뢰하다,"In the past, it was common for countries to commission artists to create portraits of the king and queen.",과거에는 국가가 화가들에게 왕과 왕비의 초상화를 그리도록 의뢰하는 것이 흔했다.,
3,remarkable,adj.,extraordinary,incredible,notable,significant,"놀라운, 주목할 만한",Charles Dickens had remarkable mental and physical energy.,"찰스 디킨스는 놀라운 정신적, 신체적 에너지를 가지고 있었다.",
3,effort,n.,attempt,top endeavor,exertion,,노력,The effort to increase wages brought about hundreds of strikes in the 1850s.,임금을 인상하려는 노력은 1850년대에 수백 건의 파업을 초래했다.,
3,manifestation,n.,indication,sign,symptom,evidence,징후,Frequent high blood pressure may be a manifestation of extreme stress.,빈번한 고혈압은 극심한 스트레스의 징후일 수 있다.,
3,prior,adj.,previous,former,earlier,,이전의,"Unlike the prior administration, the current one supports universal health care.",이전 행정부와는 달리 현 행정부는 보편적 의료 혜택을 지지한다.,
3,cast about,phr.,seek,search,hunt,,찾아다니다,"Unsure how to increase the company's profits, George cast about for solutions from his colleagues.","어떻게 해야 회사의 수익을 높일 수 있을지 확신이 없어서, George는 그의 동료들로부터 해결책을 찾아다녔다.",
3,rigorous,adj.,strict,,,,엄격한,Athletes should follow a rigorous training schedule to be competitive.,운동선수들은 경쟁력을 갖추기 위해 엄격한 훈련 일정을 따라야 한다.,
3,rigorous,adj.,harsh,,,,혹독한,The rigorous climate of the Arctic makes it inhospitable to humans.,북극의 혹독한 기후는 그곳에서 사람이 살기 어렵게 만든다.,
3,compulsory,adj.,obligatory,forced,required,necessary,"의무적인, 강제적인","In Britain, education is compulsory between the ages of 5 and 16.",영국에서는 5세에서 16세까지의 교육이 의무적이다.,
3,subsidiary,adj.,less important,auxiliary,subordinate,,부수적인,The CEO said that the rest of the details for the merger were subsidiary and could be discussed at a later time.,그 최고 경영자는 합병에 관한 나머지 세부 사항들이 부수적이고 나중에 논의될 수 있다고 말했다.,
3,status,n.,standing,prestige,importance,,"지위, 위신","Donald's father was the town doctor, so he was a man of high status in the community.",Donald의 아버지는 그 마을의 의사여서 지역 사회에서 지위가 높은 사람이었다.,
3,emphasize,v.,stress,highlight,underline,,강조하다,The president emphasized the need for the entire country to be on high alert against terrorism.,대통령은 나라 전체가 테러에 대해 매우 경계하고 있어야 할 필요성을 강조했다.,
3,largely,adv.,generally,mostly,mainly,,대부분,"Korea's citizens are largely of Korean descent, although there is a sizeable foreign population as well.","상당수의 외국인들도 있긴 하지만, 한국에 사는 사람들은 대부분 한국계이다.",
3,experimental,adj.,trial,tentative,,,시험적인,Vaccines go through an experimental phase to make sure that they are safe before being released.,백신은 그것이 안전하다는 것을 보장하기 위해 출시되기 전에 시험적 단계를 거친다.,
3,drain,v.,withdraw liquid gradually,remove water,,,물을 빼내다,The sink should be drained after each use.,싱크대는 매번 사용한 후에 물을 빼내야 한다.,
3,denote,v.,indicate,signify,represent,,"나타내다, 표시하다",A raised head and flattened neck denote that a cobra is about to strike.,높이 든 머리와 납작해진 목은 코브라가 곧 공격할 것이라는 것을 나타낸다.,
